USER,PID,%CPU,%MEM,VSZ,RSS,TTY,STAT,START,TIME,COMMAND
root,5188,99.5,0.0,4652,1104,pts/0,R,19:49,675,../run_base_train_mytest-64.0001/exchange2_r_base.mytest-64 1
root,5152,5.1,0.8,98128,94640,pts/0,S,19:49,680,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 8 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/548.exchange2_r.train.base --lognum 009.0.8 548.exchange2_r
root,5185,0.0,0.0,2228,776,pts/0,S,19:49,680,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/548.exchange2_r/run/run_base_train_mytest-64.0001 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,5186,0.0,0.7,98128,92292,pts/0,S,19:49,680,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 8 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/548.exchange2_r.train.base --lognum 009.0.8 548.exchange2_r
root,5188,99.1,0.0,4652,1104,pts/0,R,19:49,680,../run_base_train_mytest-64.0001/exchange2_r_base.mytest-64 1
root,5152,4.2,0.8,98128,94640,pts/0,S,19:49,685,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 8 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/548.exchange2_r.train.base --lognum 009.0.8 548.exchange2_r
root,5185,0.0,0.0,2228,776,pts/0,S,19:49,685,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/548.exchange2_r/run/run_base_train_mytest-64.0001 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
root,5186,0.0,0.7,98128,92292,pts/0,S,19:49,685,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 8 --tune base --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/548.exchange2_r.train.base --lognum 009.0.8 548.exchange2_r
root,5188,99.3,0.0,4652,1104,pts/0,R,19:49,685,../run_base_train_mytest-64.0001/exchange2_r_base.mytest-64 1
root,6309,27.3,0.8,98056,94572,pts/0,S,19:55,1025,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size train --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 19 --tune peak --logfile /home/cpu2017/tmp/CPU2017.009.0/templogs/548.exchange2_r.train.peak --lognum 009.0.19 548.exchange2_r
