CMD,%MEM,%CPU,PSR,TIME
specperl -I/home/cpu2017/bi,0.7,1.2,5,85
/home/cpu2017/bin/specperl,0.8,10.8,5,85
specperl -I/home/cpu2017/bi,0.6,0.3,5,85
/home/cpu2017/bin/specperl,0.8,17.6,5,85
/home/cpu2017/bin/specinvok,0.0,0.0,5,85
/home/cpu2017/bin/specperl,0.7,0.0,5,85
../run_base_test_mytest-64.,1.3,98.7,5,85
/home/cpu2017/bin/specperl,0.8,21.4,4,85
/home/cpu2017/bin/specinvok,0.0,0.0,4,85
/home/cpu2017/bin/specperl,0.7,0.0,5,85
../run_base_test_mytest-64.,0.1,99.7,4,85
specperl -I/home/cpu2017/bi,0.7,1.1,5,90
/home/cpu2017/bin/specperl,0.8,10.2,5,90
specperl -I/home/cpu2017/bi,0.6,0.3,5,90
/home/cpu2017/bin/specperl,0.8,13.8,5,90
/home/cpu2017/bin/specinvok,0.0,0.0,5,90
/home/cpu2017/bin/specperl,0.7,0.1,5,90
../run_base_test_mytest-64.,1.3,99.0,4,90
/home/cpu2017/bin/specperl,0.8,44.8,5,90
/home/cpu2017/bin/specinvok,0.0,0.0,5,90
/home/cpu2017/bin/specperl,0.7,0.0,5,90
../run_base_test_mytest-64.,0.0,103,5,90
specperl -I/home/cpu2017/bi,0.7,1.1,5,95
/home/cpu2017/bin/specperl,0.8,9.6,4,95
specperl -I/home/cpu2017/bi,0.6,0.3,5,95
/home/cpu2017/bin/specperl,0.8,11.5,4,95
/home/cpu2017/bin/specperl,0.8,13.7,5,95
/home/cpu2017/bin/specinvok,0.0,0.0,5,95
/home/cpu2017/bin/specperl,0.7,0.1,5,95
../run_base_test_mytest-64.,0.0,99.6,5,95
/home/cpu2017/bin/specinvok,0.0,0.0,4,95
/home/cpu2017/bin/specperl,0.7,0.0,5,95
/home/cpu2017/bin/specperl,0.1,183,4,95
specperl -I/home/cpu2017/bi,0.7,1.0,5,100
/home/cpu2017/bin/specperl,0.8,9.3,4,100
specperl -I/home/cpu2017/bi,0.6,0.3,4,100
/home/cpu2017/bin/specperl,0.8,44.5,5,100
/home/cpu2017/bin/specinvok,0.0,0.6,5,100
/home/cpu2017/bin/specperl,0.7,0.0,4,100
../run_base_test_mytest-64.,4.3,136,5,100
specperl -I/home/cpu2017/bi,0.7,1.0,5,105
/home/cpu2017/bin/specperl,0.8,8.9,4,105
specperl -I/home/cpu2017/bi,0.6,0.3,4,105
/home/cpu2017/bin/specperl,0.8,17.5,5,105
/home/cpu2017/bin/specinvok,0.0,0.1,5,105
/home/cpu2017/bin/specperl,0.7,0.1,4,105
/home/cpu2017/bin/specperl,0.8,69.5,4,105
/home/cpu2017/bin/specinvok,0.0,0.0,4,105
/home/cpu2017/bin/specperl,0.8,0.0,4,105
../run_peak_test_mytest-64.,0.0,1.2,4,105
../run_base_test_mytest-64.,4.5,123,5,105
specperl -I/home/cpu2017/bi,0.7,0.9,5,110
/home/cpu2017/bin/specperl,0.8,8.5,4,110
specperl -I/home/cpu2017/bi,0.6,0.3,4,110
/home/cpu2017/bin/specperl,0.8,10.9,5,110
/home/cpu2017/bin/specinvok,0.0,0.0,5,110
/home/cpu2017/bin/specperl,0.7,0.1,4,110
/home/cpu2017/bin/specperl,0.8,31.5,4,110
