%CPU,%MEM,PSR,TIME,PID,CMD
31.2,0.8,6,40,19064,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 7 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/541.leela_r.test.base --lognum 004.0.7 541.leela_r
2.6,0.8,7,45,19064,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 7 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/541.leela_r.test.base --lognum 004.0.7 541.leela_r
0.0,0.0,7,45,19139,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/541.leela_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
0.0,0.7,6,45,19140,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 7 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/541.leela_r.test.base --lognum 004.0.7 541.leela_r
3.4,0.1,7,45,19143,../run_base_test_mytest-64.0000/leela_r_base.mytest-64 test.sgf
1.8,0.8,7,50,19064,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 7 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/541.leela_r.test.base --lognum 004.0.7 541.leela_r
0.0,0.0,7,50,19139,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/541.leela_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
0.0,0.7,7,50,19140,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 7 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/541.leela_r.test.base --lognum 004.0.7 541.leela_r
5.1,0.1,7,50,19143,../run_base_test_mytest-64.0000/leela_r_base.mytest-64 test.sgf
1.6,0.8,6,55,19064,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 7 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/541.leela_r.test.base --lognum 004.0.7 541.leela_r
0.0,0.0,6,55,19139,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/541.leela_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
0.0,0.7,6,55,19140,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 7 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/541.leela_r.test.base --lognum 004.0.7 541.leela_r
7.3,0.1,6,55,19143,../run_base_test_mytest-64.0000/leela_r_base.mytest-64 test.sgf
33.2,0.8,5,75,20140,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 18 --tune peak --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/541.leela_r.test.peak --lognum 004.0.18 541.leela_r
0.0,0.0,6,75,20247,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/541.leela_r/run/run_peak_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
0.0,0.8,3,75,20248,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 18 --tune peak --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/541.leela_r.test.peak --lognum 004.0.18 541.leela_r
500,0.1,5,75,20251,../run_peak_test_mytest-64.0000/leela_r_peak.mytest-64 test.sgf
14.9,0.8,1,80,20140,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 18 --tune peak --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/541.leela_r.test.peak --lognum 004.0.18 541.leela_r
