%CPU,%MEM,PSR,TIME,PID,CMD
30.0,0.7,7,30,18750,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 2 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/505.mcf_r.test.base --lognum 004.0.2 505.mcf_r
10.3,0.8,7,35,18750,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 2 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/505.mcf_r.test.base --lognum 004.0.2 505.mcf_r
0.0,0.0,7,35,18930,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/505.mcf_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
0.0,0.7,6,35,18931,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 2 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/505.mcf_r.test.base --lognum 004.0.2 505.mcf_r
29.4,0.0,7,35,18933,../run_base_test_mytest-64.0000/mcf_r_base.mytest-64 inp.in
6.0,0.8,7,40,18750,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 2 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/505.mcf_r.test.base --lognum 004.0.2 505.mcf_r
0.0,0.0,7,40,18930,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/505.mcf_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
0.1,0.7,6,40,18931,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 2 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/505.mcf_r.test.base --lognum 004.0.2 505.mcf_r
32.0,0.0,7,40,18933,../run_base_test_mytest-64.0000/mcf_r_base.mytest-64 inp.in
1.7,0.8,7,45,18750,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 2 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/505.mcf_r.test.base --lognum 004.0.2 505.mcf_r
0.0,0.0,7,45,18930,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/505.mcf_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
0.0,0.7,7,45,18931,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 2 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/505.mcf_r.test.base --lognum 004.0.2 505.mcf_r
10.6,1.6,6,45,18933,../run_base_test_mytest-64.0000/mcf_r_base.mytest-64 inp.in
1.2,0.8,7,50,18750,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 2 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/505.mcf_r.test.base --lognum 004.0.2 505.mcf_r
0.0,0.0,7,50,18930,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/505.mcf_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
0.0,0.7,7,50,18931,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 2 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/505.mcf_r.test.base --lognum 004.0.2 505.mcf_r
10.3,1.9,6,50,18933,../run_base_test_mytest-64.0000/mcf_r_base.mytest-64 inp.in
1.1,0.8,7,55,18750,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 2 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/505.mcf_r.test.base --lognum 004.0.2 505.mcf_r
0.0,0.0,7,55,18930,/home/cpu2017/bin/specinvoke -d /home/cpu2017/benchspec/CPU/505.mcf_r/run/run_base_test_mytest-64.0000 -f speccmds.cmd -q -e speccmds.err -o speccmds.stdout
0.0,0.7,6,55,18931,/home/cpu2017/bin/specperl /home/cpu2017/bin/harness/runcpu --config default.cfg --nokeeptmp --nolog_timestamp --iterations 1 --from_runcpu 1 --nouse-submit-for-speed --label mytest-64 --size test --nobuild --noreportable --noignore-errors --nopreenv --verbose 5 --copies 1 --threads 1 --copynum 2 --tune base --logfile /home/cpu2017/tmp/CPU2017.004.0/templogs/505.mcf_r.test.base --lognum 004.0.2 505.mcf_r
11.5,2.2,6,55,18933,../run_base_test_mytest-64.0000/mcf_r_base.mytest-64 inp.in
